"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "JSON with Comments", "vue", "XML", "comment", "blank", "total"
"e:\Vue\sakai-vue-master\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 2, 24
"e:\Vue\sakai-vue-master\.prettierrc.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"e:\Vue\sakai-vue-master\CHANGELOG.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 26, 58
"e:\Vue\sakai-vue-master\LICENSE.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"e:\Vue\sakai-vue-master\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Vue\sakai-vue-master\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"e:\Vue\sakai-vue-master\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"e:\Vue\sakai-vue-master\localhost_2024-09-09_09-49-57.report.html", "HTML", 0, 0, 0, 2334, 0, 0, 0, 5, 292, 2631
"e:\Vue\sakai-vue-master\package-lock.json", "JSON", 0, 0, 4540, 0, 0, 0, 0, 0, 1, 4541
"e:\Vue\sakai-vue-master\package.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"e:\Vue\sakai-vue-master\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Vue\sakai-vue-master\public\demo\data\countries.json", "JSON", 0, 0, 247, 0, 0, 0, 0, 0, 0, 247
"e:\Vue\sakai-vue-master\public\demo\data\customers-large.json", "JSON", 0, 0, 3604, 0, 0, 0, 0, 0, 1, 3605
"e:\Vue\sakai-vue-master\public\demo\data\customers-medium.json", "JSON", 0, 0, 804, 0, 0, 0, 0, 0, 1, 805
"e:\Vue\sakai-vue-master\public\demo\data\events.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"e:\Vue\sakai-vue-master\public\demo\data\icons.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Vue\sakai-vue-master\public\demo\data\photos.json", "JSON", 0, 0, 94, 0, 0, 0, 0, 0, 1, 95
"e:\Vue\sakai-vue-master\public\demo\data\products-orders-small.json", "JSON", 0, 0, 341, 0, 0, 0, 0, 0, 1, 342
"e:\Vue\sakai-vue-master\public\demo\data\products-small.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"e:\Vue\sakai-vue-master\public\demo\data\products.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"e:\Vue\sakai-vue-master\public\demo\data\treenodes.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"e:\Vue\sakai-vue-master\public\demo\data\treetablenodes.json", "JSON", 0, 0, 353, 0, 0, 0, 0, 0, 0, 353
"e:\Vue\sakai-vue-master\public\demo\images\access\asset-access.svg", "XML", 0, 0, 0, 0, 0, 0, 46, 0, 1, 47
"e:\Vue\sakai-vue-master\public\demo\images\error\asset-error.svg", "XML", 0, 0, 0, 0, 0, 0, 74, 0, 1, 75
"e:\Vue\sakai-vue-master\public\demo\images\landing\enterprise.svg", "XML", 0, 0, 0, 0, 0, 0, 73, 0, 1, 74
"e:\Vue\sakai-vue-master\public\demo\images\landing\free.svg", "XML", 0, 0, 0, 0, 0, 0, 33, 0, 1, 34
"e:\Vue\sakai-vue-master\public\demo\images\landing\mockup-desktop.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"e:\Vue\sakai-vue-master\public\demo\images\landing\mockup.svg", "XML", 0, 0, 0, 0, 0, 0, 30, 0, 1, 31
"e:\Vue\sakai-vue-master\public\demo\images\landing\new-badge.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\Vue\sakai-vue-master\public\demo\images\landing\peak-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"e:\Vue\sakai-vue-master\public\demo\images\landing\startup.svg", "XML", 0, 0, 0, 0, 0, 0, 52, 0, 1, 53
"e:\Vue\sakai-vue-master\public\demo\images\logo-white.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 1, 0, 25
"e:\Vue\sakai-vue-master\public\demo\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 1, 0, 25
"e:\Vue\sakai-vue-master\src\api.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Vue\sakai-vue-master\src\layout\AppMenu.vue", "vue", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"e:\Vue\sakai-vue-master\src\layout\AppTopbar.vue", "vue", 0, 0, 0, 0, 0, 148, 0, 6, 15, 169
"e:\Vue\sakai-vue-master\src\main.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Vue\sakai-vue-master\src\views\pages\CarCompare.vue", "vue", 0, 0, 0, 0, 0, 143, 0, 45, 1, 189
"e:\Vue\sakai-vue-master\src\views\pages\CarTrimDetail.vue", "vue", 0, 0, 0, 0, 0, 42, 0, 0, 8, 50
"e:\Vue\sakai-vue-master\src\views\pages\Landing.vue", "vue", 0, 0, 0, 0, 0, -64, 0, 60, -6, -10
"e:\Vue\sakai-vue-master\src\views\pages\Purpose.vue", "vue", 0, 0, 0, 0, 0, 2, 0, 0, -2, 0
"e:\Vue\sakai-vue-master\src\views\pages\SalesTrend.vue", "vue", 0, 0, 0, 0, 0, -30, 0, 0, -5, -35
"e:\Vue\sakai-vue-master\src\views\pages\auth\Login.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"e:\Vue\sakai-vue-master\tailwind.config.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 1, 1, 43
"e:\Vue\sakai-vue-master\vercel.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"e:\Vue\sakai-vue-master\vite.config.mjs", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 4, 3, 46
"Total", "-", 122, 50, 10223, 2348, 13, 254, 389, 124, 372, 13895